League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
JAPAN 1,2025-09-15,07:00:00,29,Tokyo,Tokyo Verdy,3.0,1.95,4.15,2.16,2.86,3.25,1.5,2.4,3.25,1.3,10.0,1.01,1.04,6.5,1.46,2.5,2.45,1.55,2.0,1.73,1.3,0.0,1.58,1.29,0.93,1.58,0.94,2.52,1.83,7.95,2.63,1.4,2.73,1.68,2.23,2.11,1.68,2.4,1.41,3.58,1.23
JAPAN 2,2025-09-15,07:00:00,29,Roasso Kumamoto,Tokushima Vortis,3.4,2.0,3.2,2.69,3.03,2.4,1.49,2.54,3.4,1.29,9.6,1.0,1.02,6.5,1.33,2.6,2.35,1.53,2.09,1.85,1.36,0.0,1.38,1.29,1.64,1.38,1.32,2.7,1.92,6.15,2.3,1.27,3.15,1.54,2.28,1.98,1.82,2.45,1.46,3.34,1.24
ROMANIA 1,2025-09-15,12:00:00,9,Hermannstadt,Unirea Slobozia,2.38,2.17,5.16,1.82,3.29,3.77,1.4,2.75,2.8,1.33,7.4,1.07,1.02,10.5,1.26,3.3,2.2,1.68,1.98,1.73,1.29,0.0,2.0,1.67,1.0,1.47,1.25,2.72,1.5,7.0,3.64,1.35,2.75,1.62,2.11,2.07,1.64,2.74,1.35,3.55,1.18
ITALY 1,2025-09-15,13:30:00,3,Hellas Verona,Cremonese,3.2,1.95,3.98,2.4,3.03,3.13,1.44,2.45,3.2,1.3,8.0,1.02,1.08,7.0,1.44,2.63,2.25,1.6,1.95,1.79,1.34,0.0,1.55,0.0,3.0,0.0,0.68,0.68,1.71,7.5,2.6,1.33,2.88,1.61,2.15,2.1,1.65,2.75,1.37,3.8,1.19
DENMARK 1,2025-09-15,14:00:00,8,Fredericia,Vejle,2.9,2.15,3.1,2.45,3.31,2.44,1.32,3.0,2.6,1.43,6.0,1.11,1.01,9.5,1.21,3.6,1.79,1.91,1.6,2.22,1.48,0.0,1.44,1.5,0.0,1.36,0.86,2.22,1.81,6.8,2.59,1.14,4.4,1.3,2.83,1.56,1.98,1.95,1.77,2.51,1.41
ISRAEL 1,2025-09-15,14:00:00,3,Maccabi Haifa,Ashdod,1.98,2.25,6.38,1.38,4.5,5.9,1.32,3.11,2.5,1.5,5.7,1.08,1.01,11.0,1.15,4.25,1.55,2.3,1.78,1.93,1.14,0.0,2.37,3.0,3.0,1.77,1.78,3.55,0.0,0.0,0.0,0.0,0.0,1.77,1.95,2.6,1.6,0.0,0.0,0.0,0.0
SWEDEN 1,2025-09-15,14:00:00,23,AIK,Brommapojkarna,2.36,2.13,4.85,1.64,3.38,4.7,1.35,2.8,2.79,1.4,7.5,1.08,1.06,8.3,1.32,3.28,1.95,1.75,1.85,1.83,1.3,0.0,2.0,2.2,1.27,1.58,1.44,3.02,1.46,7.5,3.15,1.29,3.2,1.5,2.38,1.85,1.86,2.3,1.7,2.95,1.33
POLAND 1,2025-09-15,14:00:00,8,Raków Częstochowa,Górnik Zabrze,2.71,2.01,4.36,2.05,3.1,3.5,1.43,2.85,2.75,1.37,7.25,1.08,1.01,8.5,1.27,3.15,1.98,1.79,1.81,1.87,1.32,0.0,1.68,1.2,1.71,1.66,1.92,3.58,1.67,8.5,2.7,1.21,3.58,1.42,2.57,1.8,1.96,2.19,1.57,2.88,1.32
SWEDEN 1,2025-09-15,14:10:00,23,Häcken,IFK Göteborg,2.69,2.3,3.15,2.19,3.55,2.62,1.25,3.34,2.3,1.57,4.95,1.11,1.03,14.8,1.15,4.75,1.54,2.3,1.5,2.5,1.38,0.0,1.59,1.0,1.73,1.76,1.19,2.95,1.86,7.5,2.18,1.08,5.45,1.21,3.9,1.36,2.85,1.58,2.2,1.9,1.79
ISRAEL 1,2025-09-15,14:30:00,3,Hapoel Tel Aviv,Beitar Jerusalem,4.0,2.2,2.6,3.33,3.33,1.92,1.36,2.9,2.62,1.42,6.4,1.09,1.0,9.3,1.22,3.6,1.8,1.9,1.72,2.05,1.3,0.0,1.29,3.0,3.0,1.2,3.05,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS 2,2025-09-15,15:00:00,6,Almere City,Eindhoven,0.0,0.0,0.0,1.41,4.7,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.08,1.32,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS 2,2025-09-15,15:00:00,6,PSV II,Roda JC,3.03,2.6,2.89,2.65,3.85,2.43,1.19,4.0,2.06,1.7,4.45,1.15,1.02,16.0,1.07,5.9,1.36,2.71,1.36,2.97,1.24,0.0,1.5,3.0,1.5,1.5,1.34,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS 2,2025-09-15,15:00:00,6,Ajax II,ADO Den Haag,4.54,2.44,2.21,4.1,4.15,1.71,1.22,3.66,2.18,1.64,4.7,1.14,1.01,14.0,1.1,5.1,1.44,2.44,1.49,2.48,1.22,0.0,1.22,2.0,2.0,1.73,2.67,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
