League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Turkey Süper Lig,2025-01-26,07:30:00,21,Rizespor,Adana Demirspor,1.78,2.7,7.0,1.29,5.62,9.12,1.3,3.75,1.02,19.0,1.15,5.17,1.51,2.5,1.85,1.95,1.08,1.17,3.6,1.33,0.56,1.47,1.21,2.68,1.26,7.5,4.1,1.34,2.9,1.56,2.23,1.9,1.78,2.4,1.49,3.05,1.3
Portugal LigaPro,2025-01-26,08:00:00,19,FC Penafiel,FC Vizela,3.6,2.05,3.2,2.75,3.0,2.37,1.44,2.63,1.03,7.4,1.36,3.0,2.1,1.65,1.83,1.83,1.53,1.28,1.4,1.78,1.11,1.2,1.38,2.58,2.66,8.5,1.64,1.18,4.5,1.34,3.1,1.58,2.29,2.0,1.8,2.44,1.52
Netherlands Eerste Divisie,2025-01-26,08:15:00,23,Excelsior,ADO Den Haag,2.45,2.4,4.0,1.87,3.75,3.75,1.29,3.35,1.02,15.0,1.22,4.2,1.7,2.15,1.63,2.2,1.28,1.2,1.95,2.5,1.11,1.71,1.6,3.31,1.58,6.4,2.65,1.33,2.95,1.57,2.23,1.9,1.79,2.38,1.5,3.05,1.3
Netherlands Eredivisie,2025-01-26,08:15:00,20,Fortuna Sittard,PEC Zwolle,2.75,2.2,4.0,2.13,3.64,3.45,1.4,2.75,1.05,12.0,1.28,3.52,1.92,1.89,1.75,2.0,1.3,1.29,1.73,1.67,0.56,1.34,1.0,2.34,1.54,6.75,2.7,1.21,3.8,1.38,2.7,1.65,2.08,2.0,1.71,2.55,1.44
Italy Serie A,2025-01-26,08:30:00,22,AC Milan,Parma,1.73,2.75,7.5,1.31,6.2,9.4,1.22,4.0,1.02,26.0,1.12,6.5,1.44,2.75,1.75,2.0,1.07,1.13,3.4,1.7,0.8,1.72,1.18,2.9,1.26,12.25,4.7,1.17,4.6,1.31,3.1,1.57,2.25,1.95,1.75,2.55,1.44
Scotland Premiership,2025-01-26,09:00:00,24,Dundee United,Rangers,5.5,2.4,2.05,6.0,4.4,1.48,1.3,3.4,1.02,17.0,1.18,4.75,1.55,2.3,1.7,2.05,2.5,1.2,1.13,1.64,1.18,1.31,1.73,3.04,3.95,8.5,1.27,1.13,4.9,1.24,3.55,1.41,2.65,1.65,2.08,1.96,1.73
Germany 2. Bundesliga,2025-01-26,09:30:00,19,Ulm,Jahn Regensburg,2.63,2.05,4.75,1.95,3.4,3.95,1.44,2.63,1.07,8.0,1.38,2.9,2.1,1.65,1.91,1.8,1.23,1.3,1.83,0.75,0.13,1.46,1.15,2.61,1.57,6.75,2.65,1.24,3.55,1.44,2.55,1.71,2.0,2.08,1.65,2.65,1.41
Germany 2. Bundesliga,2025-01-26,09:30:00,19,Hannover 96,Preußen Münster,2.25,2.25,5.5,1.66,4.1,5.2,1.36,3.0,1.05,9.5,1.25,3.6,1.84,1.97,1.83,1.83,1.16,1.25,2.2,2.44,1.13,1.67,1.24,2.91,1.44,7.0,3.05,1.24,3.55,1.41,2.63,1.68,2.02,1.85,1.85,2.63,1.41
Belgium Pro League,2025-01-26,09:30:00,23,Standard Liège,FCV Dender EH,3.0,2.05,4.0,2.15,3.21,3.39,1.44,2.63,1.05,8.91,1.36,3.04,2.05,1.7,1.91,1.91,1.32,1.32,1.65,1.91,1.5,1.21,1.12,2.33,1.79,6.4,2.23,1.36,2.8,1.61,2.15,1.8,1.91,2.55,1.45,3.3,1.27
Germany 2. Bundesliga,2025-01-26,09:30:00,19,Darmstadt 98,Paderborn,2.75,2.3,3.5,2.19,3.7,3.25,1.3,3.4,1.04,10.0,1.2,4.33,1.6,2.2,1.53,2.38,1.35,1.27,1.68,1.44,1.56,1.56,1.38,2.94,1.79,6.4,2.23,1.33,2.95,1.56,2.23,1.73,2.0,2.4,1.49,3.15,1.3
Spain La Liga,2025-01-26,10:00:00,21,Rayo Vallecano,Girona FC,3.4,2.05,3.4,2.75,2.88,2.8,1.44,2.63,1.08,8.5,1.4,3.0,2.2,1.67,1.8,1.95,1.46,1.34,1.44,1.33,1.2,1.57,1.1,2.67,1.81,6.4,2.2,1.36,2.8,1.63,2.12,2.02,1.7,2.55,1.43,3.4,1.26
Turkey Süper Lig,2025-01-26,10:00:00,21,Antalyaspor,Beşiktaş,4.0,2.4,2.45,3.83,3.83,1.84,1.33,3.6,1.04,15.0,1.19,4.5,1.61,2.26,1.57,2.35,2.0,1.28,1.3,1.78,1.22,1.45,1.36,2.81,2.33,6.4,1.74,1.35,2.9,1.58,2.18,1.96,1.73,2.48,1.47,3.2,1.29
Turkey Süper Lig,2025-01-26,10:00:00,21,BB Bodrumspor,Eyüpspor,3.4,2.1,3.3,2.69,3.26,2.6,1.47,2.85,1.05,9.0,1.32,3.25,1.99,1.78,1.78,2.0,1.52,1.36,1.5,1.22,1.3,1.3,1.11,2.41,1.79,6.4,2.23,1.4,2.7,1.65,2.07,2.06,1.66,2.65,1.41,3.55,1.24
Spain Segunda División,2025-01-26,10:00:00,24,Granada CF,Sporting Gijón,3.0,1.95,3.75,2.26,3.27,3.5,1.52,2.39,1.1,6.5,1.42,2.7,2.3,1.55,1.95,1.8,1.33,1.3,1.6,1.58,1.09,1.7,1.19,2.89,1.72,6.4,2.38,1.4,2.65,1.68,2.02,2.08,1.63,2.65,1.4,3.55,1.23
Switzerland Super League,2025-01-26,10:15:00,20,St. Gallen,Lausanne Sport,2.95,2.25,2.95,2.51,3.56,2.56,1.28,3.3,1.04,10.0,1.2,4.5,1.55,2.3,1.45,2.5,1.48,1.22,1.5,1.56,1.0,1.76,1.61,3.37,2.0,6.75,1.98,1.25,3.45,1.43,2.55,1.71,1.96,2.12,1.61,2.65,1.38
Netherlands Eredivisie,2025-01-26,10:30:00,20,RKC Waalwijk,Willem II,3.25,2.1,3.25,2.66,3.67,2.59,1.4,2.75,1.05,11.0,1.31,3.35,1.84,1.97,1.75,2.0,1.47,1.31,1.46,0.56,1.22,1.2,0.85,2.05,2.2,6.75,1.79,1.18,4.1,1.32,3.05,1.53,2.3,1.85,1.83,2.32,1.53
