League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
JAPAN 1,2025-09-12,07:00:00,29,Machida Zelvia,Yokohama,2.36,2.1,5.2,1.53,3.66,5.2,1.36,2.8,2.8,1.36,7.5,1.08,1.0,9.3,1.28,3.2,1.9,1.8,1.91,1.83,1.25,0.0,2.2,1.57,0.62,1.4,1.06,2.46,1.54,6.5,3.05,1.94,1.72,2.6,1.4,3.55,1.22,4.9,1.11,6.75,1.04
JAPAN 1,2025-09-12,07:00:00,29,Vissel Kobe,Kashiwa Reysol,2.8,2.0,3.64,2.08,3.09,3.18,1.44,2.7,3.21,1.33,8.0,1.06,1.05,8.0,1.34,3.05,2.15,1.7,1.8,1.85,1.33,0.0,1.65,1.86,1.79,1.66,1.34,3.0,1.64,7.5,2.6,1.28,3.1,1.5,2.3,1.88,1.92,2.33,1.49,3.1,1.29
JAPAN 1,2025-09-12,07:00:00,29,Sanfrecce Hiroshima,Kyoto Sanga,2.3,2.1,4.9,1.75,3.38,3.98,1.35,2.75,2.71,1.4,7.0,1.1,1.01,8.6,1.26,3.55,1.89,1.81,1.79,1.91,1.28,0.0,2.0,1.64,1.8,1.58,1.22,2.8,1.42,8.0,3.3,1.17,4.0,1.32,2.95,1.82,2.2,1.88,1.76,2.35,1.48
CHINA 1,2025-09-12,07:00:00,24,Shanghai SIPG,Yunnan Yukun,1.6,3.1,7.1,1.28,6.2,9.0,1.14,5.0,1.73,2.05,3.2,1.25,1.01,29.0,1.02,7.0,1.24,3.5,1.5,2.4,1.06,0.0,3.74,2.09,1.3,1.7,1.42,3.12,1.24,8.5,4.9,1.22,3.5,1.46,2.45,2.02,1.98,2.25,1.58,2.85,1.36
CHINA 1,2025-09-12,08:35:00,24,Chengdu Better City FC,Changchun Yatai,1.39,3.15,10.0,1.13,8.5,19.0,1.2,4.0,1.95,1.75,4.0,1.22,1.01,20.0,1.11,6.05,1.58,2.39,2.32,1.63,1.01,0.0,5.2,2.17,0.7,1.88,1.13,3.01,1.07,12.5,9.5,1.22,3.5,1.4,2.47,2.02,2.08,2.25,1.71,2.48,1.3
CHINA 1,2025-09-12,08:35:00,24,Henan Jianye,Beijing Guoan,3.22,2.63,2.71,3.25,3.75,2.08,1.25,3.66,2.1,1.65,4.5,1.17,1.01,16.5,1.14,5.85,1.38,2.6,1.38,2.8,1.25,0.0,1.44,1.0,2.09,1.56,1.66,3.22,2.28,7.0,1.81,1.17,3.91,1.36,2.85,1.92,2.17,2.09,1.74,2.71,1.47
CHINA 1,2025-09-12,09:00:00,24,Shanghai Shenhua,Shandong Luneng,1.98,2.5,4.75,1.67,4.2,4.6,1.21,3.75,2.05,1.77,4.25,1.17,1.01,17.5,1.09,6.25,1.36,2.71,1.5,2.4,1.07,0.0,2.5,2.13,1.74,1.93,1.81,3.74,1.43,8.0,3.2,1.09,4.96,1.25,3.25,1.5,2.48,1.88,1.92,2.12,1.62
POLAND 1,2025-09-12,13:00:00,8,Lechia Gdańsk,GKS Katowice,2.6,2.4,3.55,2.1,3.6,2.9,1.25,3.6,2.15,1.61,4.8,1.12,1.0,14.0,1.17,5.1,1.51,2.4,1.45,2.61,1.26,0.0,1.62,0.71,1.0,1.79,1.46,3.25,1.9,7.5,2.15,1.19,3.85,1.36,2.75,1.98,2.1,1.97,1.7,2.5,1.43
GERMANY 2,2025-09-12,13:30:00,5,Arminia Bielefeld,Magdeburg,2.5,2.3,3.55,2.11,3.77,3.02,1.24,3.34,2.2,1.6,4.8,1.15,1.0,12.0,1.18,4.75,1.53,2.25,1.45,2.69,1.26,0.0,1.68,1.5,1.5,1.57,1.3,2.87,1.72,7.5,2.43,1.18,4.1,1.33,3.0,1.55,2.28,2.0,1.82,2.33,1.52
GERMANY 2,2025-09-12,13:30:00,5,Paderborn,Bochum,2.4,2.3,3.75,1.96,3.9,3.29,1.29,3.3,2.45,1.55,5.5,1.09,1.03,12.0,1.18,4.33,1.62,2.15,1.53,2.3,1.24,0.0,1.83,1.5,0.0,1.39,1.24,2.63,1.77,7.5,2.33,1.21,3.8,1.38,2.75,1.62,2.12,1.88,1.92,2.48,1.46
