League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Italy Serie A,2025-01-14,14:30:00,19,Como,AC Milan,4.33,2.2,2.6,4.0,3.5,1.9,1.36,3.0,1.05,12.0,1.28,3.75,1.95,1.95,1.7,2.05,1.77,1.28,1.28,1.5,1.38,1.54,1.46,3.0,2.5,6.5,1.65,1.36,2.8,1.62,2.14,2.0,1.71,2.55,1.44,3.4,1.26
Germany Bundesliga,2025-01-14,14:30:00,17,Holstein Kiel,Borussia Dortmund,5.5,2.63,1.91,5.5,4.75,1.48,1.22,4.0,1.01,17.0,1.12,6.5,1.42,2.74,1.57,2.25,2.65,1.18,1.13,0.75,0.71,1.19,1.11,2.3,3.4,7.5,1.36,1.21,3.8,1.38,2.75,1.62,2.14,1.98,1.72,2.48,1.47
England Premier League,2025-01-14,16:30:00,21,Brentford,Manchester City,4.33,2.63,2.1,5.75,4.2,1.53,1.22,4.0,1.01,24.0,1.12,6.8,1.37,2.94,1.44,2.63,2.2,1.2,1.2,2.2,1.4,1.57,1.8,3.37,4.0,8.0,1.27,1.15,4.6,1.29,3.2,1.48,2.43,1.75,1.95,2.15,1.61
England Premier League,2025-01-14,16:30:00,21,West Ham United,Fulham,3.25,2.25,3.0,2.5,3.6,2.6,1.33,3.25,1.04,14.0,1.23,4.35,1.67,2.1,1.57,2.25,1.55,1.29,1.43,1.1,1.44,1.35,1.37,2.72,2.05,6.75,1.92,1.17,4.35,1.3,3.15,1.49,2.4,1.79,1.9,2.18,1.58
England Premier League,2025-01-14,16:30:00,21,Chelsea,AFC Bournemouth,2.1,2.6,4.75,1.44,4.5,6.5,1.25,3.75,1.01,23.0,1.14,6.0,1.58,2.37,1.5,2.5,1.18,1.21,2.25,1.67,1.5,1.75,1.61,3.36,1.42,7.5,3.15,1.11,5.1,1.23,3.65,1.41,2.65,1.62,2.12,1.96,1.74
Germany Bundesliga,2025-01-14,16:30:00,17,Bayer Leverkusen,Mainz 05,1.95,2.5,6.0,1.36,5.0,7.0,1.29,3.5,1.02,19.0,1.18,5.0,1.58,2.4,1.75,2.0,1.11,1.19,2.65,2.13,2.0,2.17,1.17,3.34,1.24,8.0,4.4,1.27,3.3,1.48,2.43,1.77,1.92,2.2,1.58,2.8,1.36
Germany Bundesliga,2025-01-14,16:30:00,17,Eintracht Frankfurt,Freiburg,2.3,2.4,4.5,1.9,3.8,3.6,1.3,3.4,1.02,19.0,1.19,4.75,1.57,2.25,1.62,2.2,1.21,1.24,2.05,2.0,1.0,1.77,1.25,3.02,1.49,6.75,2.95,1.29,3.15,1.5,2.35,1.82,1.86,2.28,1.55,2.9,1.34
Germany Bundesliga,2025-01-14,16:30:00,17,Wolfsburg,Borussia M'gladbach,2.5,2.4,3.75,2.1,3.8,3.1,1.29,3.5,1.02,19.0,1.18,5.0,1.58,2.4,1.53,2.38,1.29,1.26,1.8,1.0,1.14,1.3,1.35,2.65,1.64,6.4,2.55,1.27,3.3,1.47,2.43,1.78,1.91,2.23,1.57,2.85,1.36
Wales Welsh Premier League,2025-01-14,16:45:00,22,Caernarfon Town,Flint Town United,2.6,2.38,3.25,1.95,3.8,3.3,1.29,3.5,1.01,13.0,1.12,4.75,1.47,2.5,1.44,2.63,1.31,1.27,1.58,1.0,0.7,1.37,1.52,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League One,2025-01-14,16:45:00,11,Exeter City,Mansfield Town,3.75,2.2,2.88,3.2,3.4,2.2,1.36,3.0,1.05,11.0,1.28,3.6,1.83,1.91,1.67,2.1,1.66,1.25,1.36,1.38,1.58,1.28,1.25,2.53,2.23,8.8,1.88,1.2,4.0,1.29,3.04,1.55,2.23,1.94,1.77,2.48,1.45
England Championship,2025-01-14,16:45:00,19,Cardiff City,Watford,2.88,2.2,3.6,2.25,3.5,3.0,1.36,3.0,1.05,9.5,1.25,3.8,1.73,2.0,1.62,2.2,1.35,1.25,1.65,1.08,0.67,1.52,1.14,2.66,1.65,6.75,2.48,1.21,3.95,1.43,2.73,1.75,2.08,2.17,1.68,2.83,1.4
England Championship,2025-01-14,16:45:00,19,Plymouth Argyle,Oxford United,3.1,2.2,3.4,2.4,3.5,2.75,1.4,2.75,1.05,9.0,1.3,3.45,1.9,1.95,1.67,2.1,1.42,1.25,1.53,1.55,0.5,1.49,0.96,2.45,1.49,7.0,2.8,1.07,6.27,1.21,3.96,1.41,2.78,1.71,2.14,2.09,1.74
Wales Welsh Premier League,2025-01-14,16:45:00,22,Barry Town United,Haverfordwest County,4.0,2.25,2.4,3.4,3.7,1.85,1.33,3.25,1.01,8.7,1.2,3.68,1.82,1.88,1.67,2.1,1.73,1.22,1.27,1.7,1.9,1.46,1.35,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2025-01-14,16:45:00,22,Connah's Quay,Bala Town,2.75,2.1,3.6,1.85,3.3,4.2,1.4,2.75,1.01,9.0,1.24,3.34,1.78,1.93,1.73,2.0,1.31,1.28,1.59,1.4,1.2,1.54,1.37,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2025-01-14,16:45:00,22,Newtown,Penybont,7.0,2.5,1.8,5.0,3.8,1.6,1.3,3.4,1.01,13.0,1.16,4.05,1.75,1.96,2.0,1.73,2.65,1.12,1.1,1.0,2.3,1.63,1.66,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wales Welsh Premier League,2025-01-14,16:45:00,22,Cardiff MU,The New Saints,5.5,2.6,1.83,6.5,4.5,1.33,1.25,3.75,1.01,17.0,1.09,5.4,1.44,2.63,1.62,2.2,2.5,1.14,1.1,1.6,2.1,1.5,2.25,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy Serie A,2025-01-14,16:45:00,19,Atalanta,Juventus,2.75,2.1,4.33,2.05,3.3,3.6,1.44,2.63,1.06,10.0,1.33,3.3,2.05,1.85,1.8,1.95,1.28,1.3,1.75,2.63,1.89,1.78,1.29,3.07,1.47,6.75,2.95,1.38,2.75,1.65,2.08,2.04,1.67,2.65,1.41,3.45,1.25
England Premier League,2025-01-14,17:00:00,21,Nottingham Forest,Liverpool,4.75,2.38,2.25,5.0,3.9,1.65,1.3,3.4,1.03,17.0,1.22,4.6,1.65,2.3,1.67,2.1,2.05,1.24,1.2,1.89,2.56,1.5,1.87,3.37,2.95,7.0,1.47,1.19,4.1,1.33,2.95,1.54,2.3,1.86,1.82,2.32,1.52
Scotland Premiership,2025-01-14,17:00:00,17,Dundee,Celtic,10.0,3.0,1.57,12.0,7.5,1.18,1.22,4.0,0.0,0.0,1.12,6.0,1.4,2.82,1.95,1.8,4.33,1.1,1.04,1.27,2.55,1.32,1.86,3.18,5.8,10.5,1.13,1.13,4.9,1.23,3.65,1.38,2.7,1.61,2.15,1.95,1.75
