Data,Hora,Home,Away,Jogo,Link,ID
2025-01-19,07:30,Göztepe,Antalyaspor,Göztepe x Antalyaspor,https://www.radarfutebol.com/radar/antalyaspor-goztepe/12530785,12530785
2025-01-19,08:15,NAC Breda,FC Twente,NAC Breda x FC Twente,https://www.radarfutebol.com/radar/fc-twente-nac-breda/12448305,12448305
2025-01-19,08:30,Fiorentina,Torino,Fiorentina x Torino,https://www.radarfutebol.com/radar/torino-fiorentina/12504425,12504425
2025-01-19,09:00,Leeds United,Sheffield Wednesday,Leeds United x Sheffield Wednesday,https://www.radarfutebol.com/radar/leeds-united-sheffield-wednesday/12468514,12468514
2025-01-19,09:30,SC Paderborn 07,Hertha BSC,SC Paderborn 07 x Hertha BSC,https://www.radarfutebol.com/radar/sc-paderborn-07-hertha-bsc/12500043,12500043
2025-01-19,09:30,SV 07 Elversberg,1. FC Magdeburg,SV 07 Elversberg x 1. FC Magdeburg,https://www.radarfutebol.com/radar/sv-07-elversberg-1-fc-magdeburg/12500045,12500045
2025-01-19,09:30,1. FC Nürnberg,Karlsruher SC,1. FC Nürnberg x Karlsruher SC,https://www.radarfutebol.com/radar/karlsruher-sc-1-fc-nurnberg/12500046,12500046
2025-01-19,09:30,KV Kortrijk,RSC Anderlecht,KV Kortrijk x RSC Anderlecht,https://www.radarfutebol.com/radar/kv-kortrijk-rsc-anderlecht/12421195,12421195
2025-01-19,10:00,Celta Vigo,Athletic Club,Celta Vigo x Athletic Club,https://www.radarfutebol.com/radar/athletic-club-celta-vigo/12437834,12437834
2025-01-19,10:00,Burgos Club de Fútbol,Deportivo La Coruña,Burgos Club de Fútbol x Deportivo La Coruña,https://www.radarfutebol.com/radar/burgos-club-de-futbol-deportivo-la-coruna/12467542,12467542
2025-01-19,10:00,Konyaspor,Kasımpaşa,Konyaspor x Kasımpaşa,https://www.radarfutebol.com/radar/kasimpasa-konyaspor/12530789,12530789
2025-01-19,10:30,Almere City FC,Heracles Almelo,Almere City FC x Heracles Almelo,https://www.radarfutebol.com/radar/almere-city-fc-heracles-almelo/12448300,12448300
2025-01-19,10:30,SC Heerenveen,Ajax,SC Heerenveen x Ajax,https://www.radarfutebol.com/radar/sc-heerenveen-ajax/12448308,12448308
2025-01-19,11:00,Everton,Tottenham Hotspur,Everton x Tottenham Hotspur,https://www.radarfutebol.com/radar/everton-tottenham-hotspur/12436448,12436448
2025-01-19,11:00,Manchester United,Brighton & Hove Albion,Manchester United x Brighton & Hove Albion,https://www.radarfutebol.com/radar/manchester-united-brighton-and-hove-albion/12436883,12436883
2025-01-19,11:00,Nottingham Forest,Southampton,Nottingham Forest x Southampton,https://www.radarfutebol.com/radar/southampton-nottingham-forest/12436887,12436887
2025-01-19,11:00,Parma,Venezia,Parma x Venezia,https://www.radarfutebol.com/radar/parma-venezia/12504423,12504423
2025-01-19,11:00,Cagliari,Lecce,Cagliari x Lecce,https://www.radarfutebol.com/radar/cagliari-lecce/12504429,12504429
2025-01-19,11:00,Saint-Étienne,Nantes,Saint-Étienne x Nantes,https://www.radarfutebol.com/radar/saint-etienne-nantes/12450957,12450957
2025-01-19,11:00,Catanzaro,Pisa,Catanzaro x Pisa,https://www.radarfutebol.com/radar/catanzaro-pisa/12527766,12527766
2025-01-19,11:00,Palermo,Juve Stabia,Palermo x Juve Stabia,https://www.radarfutebol.com/radar/juve-stabia-palermo/12527774,12527774
2025-01-19,11:00,Sassuolo,Südtirol,Sassuolo x Südtirol,https://www.radarfutebol.com/radar/sassuolo-sudtirol/12527780,12527780
2025-01-19,11:30,1. FC Union Berlin,1. FSV Mainz 05,1. FC Union Berlin x 1. FSV Mainz 05,https://www.radarfutebol.com/radar/1-fsv-mainz-05-1-fc-union-berlin/12499708,12499708
2025-01-19,12:00,Royale Union Saint-Gilloise,Oud-Heverlee Leuven,Royale Union Saint-Gilloise x Oud-Heverlee Leuven,https://www.radarfutebol.com/radar/royale-union-saint-gilloise-oud-heverlee-leuven/12421192,12421192
