League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
GERMANY 2,2025-03-30,08:30,Preussen Munster,Braunschweig,2.25,3.2,3.2,https://www.radarfutebol.com/radar/preussen-munster-eintracht-braunschweig/12499246,12499246
GERMANY 2,2025-03-30,08:30,Regensburg,Nurnberg,3.6,3.4,2.0,https://www.radarfutebol.com/radar/ssv-jahn-regensburg-1-fc-nurnberg/12499245,12499245
GERMANY 2,2025-03-30,08:30,Greuther Furth,Schalke,2.55,3.5,2.55,https://www.radarfutebol.com/radar/spvgg-greuther-furth-fc-schalke-04/12499237,12499237
ESTONIA 1,2025-03-30,08:30,Levadia,Kalju,1.55,3.35,6.0,https://www.radarfutebol.com/radar/nomme-kalju-fci-levadia-tallinn/13405907,13405907
CHINA 2,2025-03-30,08:30,Guangxi Pingguo Haliao,Nanjing City,0.0,0.0,0.0,https://www.radarfutebol.com/radar/nanjing-city-guangxi-pingguo-haliao/13563476,13563476
BELGIUM 1,2025-03-30,08:30,Club Brugge KV,Anderlecht,1.55,3.9,6.25,https://www.radarfutebol.com/radar/rsc-anderlecht-club-brugge-kv/13631353,13631353
BELGIUM 2,2025-03-30,08:30,Lokeren-Temse,Lommel SK,1.95,3.4,3.6,https://www.radarfutebol.com/radar/ksc-lokeren-temse-lommel-sk/12448525,12448525
CROATIA 2,2025-03-30,08:50,Cibalia,Croatia Zmijavci,1.8,3.1,4.2,https://www.radarfutebol.com/radar/nk-croatia-zmijavci-hnk-cibalia-vinkovci/13624002,13624002
SWEDEN 1,2025-03-30,09:00,Hammarby,Goteborg,1.8,3.7,4.2,https://www.radarfutebol.com/radar/ifk-goteborg-hammarby-if/13292363,13292363
SWEDEN 1,2025-03-30,09:00,Elfsborg,Mjallby,1.9,3.6,4.1,https://www.radarfutebol.com/radar/mjallby-aif-if-elfsborg/13292365,13292365
SPAIN 1,2025-03-30,09:00,Getafe,Villarreal,3.1,3.2,2.35,https://www.radarfutebol.com/radar/getafe-villarreal/12437568,12437568
SPAIN 2,2025-03-30,09:00,Cordoba,Elche,2.4,3.1,2.8,https://www.radarfutebol.com/radar/cordoba-elche/12467432,12467432
DENMARK 1,2025-03-30,09:00,Lyngby,Vejle,2.3,3.1,3.2,https://www.radarfutebol.com/radar/vejle-lyngby/13638594,13638594
DENMARK 2,2025-03-30,09:00,Hobro,Roskilde,1.7,3.6,4.33,https://www.radarfutebol.com/radar/fc-roskilde-hobro/13645643,13645643
DENMARK 1,2025-03-30,09:00,Sonderjyske,Silkeborg,3.5,3.7,1.95,https://www.radarfutebol.com/radar/sonderjyske-fodbold-silkeborg-if/13638596,13638596
SWITZERLAND 1,2025-03-30,09:15,Winterthur,Basel,5.5,4.33,1.5,https://www.radarfutebol.com/radar/basel-fc-winterthur/13260099,13260099
