Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
I5W7VDSp,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,08/12/2025,21:20,Clausura,Santa Fe,Bucaramanga,0,0,[],[],bet365,3.1,2.05,3.75,bet365,2.38,3.2,3.1,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.36,1.36,1.53,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.32,0.04,0.59,0.29,0.04,1.32,0.04,1.32,,,0.89,0.83,0.5,0.58,0.83,0.7,0.0,0.0,0.19,0.0,17.0,8.0,4.0,1.0,9.0,5.0,,,,,,,,,,,13.0,8.0,,,,,,,13.0,8.0,,,,,1.0,1.0,,,0.67,1.0,24.0,34.0,13.0,23.0,3.0,6.0,0.0,0.0,0.0,0.0,,,0.14,0.04,0.24,0.25,,,7.0,7.0,1.0,1.0,6.0,4.0,,,,,,,8.0,2.0,0.0,0.0,,,,,1.18,0.0,0.35,0.04,,,10.0,1.0,3.0,0.0,3.0,1.0,,,,,,,,,5.0,6.0,1.0,1.0,,
SKPzwdzB,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,08/12/2025,19:15,Clausura,America De Cali,Atl. Nacional,3,2,"[19, 22, 58]","[31, 69]",bet365,4.33,2.2,2.5,bet365,3.8,3.5,1.91,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.83,1.29,1.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.39,0.63,0.29,0.97,0.63,0.39,-1.37,-1.61,,,0.76,0.76,0.38,0.46,0.58,0.58,0.0,0.0,0.22,0.17,12.0,17.0,4.0,5.0,4.0,9.0,,,,,,,,,,,11.0,19.0,,,,,,,17.0,11.0,,,,,1.0,6.0,,,0.83,1.0,33.0,46.0,39.0,14.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.16,0.28,0.08,0.05,,,5.0,8.0,1.0,2.0,1.0,5.0,,,,,,,10.0,3.0,0.0,3.0,,,,,0.23,0.35,0.21,0.92,,,7.0,9.0,3.0,3.0,3.0,4.0,,,,,,,,,7.0,8.0,1.0,3.0,,
nNuxyz5N,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,08/12/2025,19:15,Clausura,Ind. Medellin,Junior,2,1,"[29, 55]",[49],bet365,2.75,2.38,3.4,bet365,2.38,3.0,3.1,bet365,1.29,3.5,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.06,10.0,bet365,1.25,3.75,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.36,1.36,1.53,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,2.14,0.81,0.73,0.81,0.81,2.14,-0.19,0.14,,,0.83,0.84,0.55,0.38,0.67,0.66,0.0,1.0,0.33,0.29,15.0,7.0,7.0,2.0,8.0,4.0,,,,,,,,,,,19.0,12.0,,,,,,,11.0,4.0,,,,,0.0,1.0,,,0.85,0.54,29.0,32.0,11.0,26.0,11.0,10.0,0.0,0.0,0.0,0.0,,,2.06,0.65,0.49,0.23,,,12.0,4.0,6.0,1.0,6.0,2.0,,,,,,,6.0,3.0,0.0,1.0,,,,,0.08,0.16,0.24,0.58,,,3.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,5.0,1.0,0.0,0.0,,
f7RSvI5b,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,08/12/2025,17:00,Clausura,Deportes Tolima,Fortaleza,1,0,[22],[],bet365,2.3,2.2,5.0,bet365,1.73,3.5,5.25,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.83,1.83,bet365,1.17,1.29,2.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.87,0.18,0.48,0.65,0.18,0.87,0.18,-0.13,,,0.86,0.87,0.58,0.69,0.75,0.72,0.0,0.0,0.13,0.08,8.0,9.0,1.0,3.0,4.0,5.0,,,,,,,,,,,6.0,16.0,,,,,,,4.0,13.0,,,,,1.0,2.0,,,0.74,0.67,39.0,39.0,20.0,12.0,4.0,9.0,0.0,1.0,0.0,1.0,,,0.87,0.03,0.11,0.21,,,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,2.0,6.0,0.0,0.0,,,,,0.0,0.15,0.37,0.44,,,4.0,7.0,0.0,2.0,3.0,4.0,,,,,,,,,2.0,7.0,1.0,2.0,,
pWn0dLhA,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,04/12/2025,22:35,Clausura,Junior,America De Cali,2,1,"[73, 88]",[68],bet365,2.5,2.25,4.33,bet365,1.85,3.6,3.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,1.73,2.0,bet365,1.25,1.29,1.91,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.7,0.13,0.83,0.48,0.13,1.7,-0.87,-0.3,,,0.8,0.78,0.49,0.43,0.62,0.67,0.0,0.0,0.27,0.13,13.0,11.0,4.0,1.0,4.0,8.0,,,,,,,,,,,15.0,15.0,,,,,,,13.0,16.0,,,,,1.0,3.0,,,0.87,0.81,48.0,41.0,17.0,14.0,6.0,8.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.28,0.15,,,3.0,5.0,0.0,0.0,2.0,3.0,,,,,,,6.0,8.0,1.0,1.0,,,,,1.7,0.13,0.55,0.33,,,10.0,6.0,4.0,1.0,2.0,5.0,,,,,,,,,7.0,8.0,0.0,2.0,,
OGbibsOc,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,04/12/2025,20:30,Clausura,Atl. Nacional,Ind. Medellin,2,1,"[25, 54]",[93],bet365,2.63,2.2,4.0,bet365,2.05,3.4,3.5,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.06,10.0,bet365,1.25,3.75,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.29,1.3,1.73,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.39,0.78,0.42,1.69,0.78,1.39,-0.22,-0.61,,,0.73,0.79,0.46,0.53,0.55,0.63,0.0,0.0,0.17,0.17,6.0,14.0,3.0,3.0,1.0,8.0,,,,,,,,,,,8.0,20.0,,,,,,,18.0,16.0,,,,,1.0,3.0,,,0.71,0.8,42.0,45.0,22.0,19.0,3.0,8.0,0.0,0.0,0.0,1.0,,,0.69,0.03,0.32,0.07,,,2.0,5.0,1.0,1.0,0.0,4.0,,,,,,,6.0,8.0,0.0,2.0,,,,,0.7,0.75,0.1,1.62,,,4.0,9.0,2.0,2.0,1.0,4.0,,,,,,,,,12.0,8.0,1.0,1.0,,
hrBZu08T,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,03/12/2025,22:30,Clausura,Bucaramanga,Deportes Tolima,0,0,[],[],bet365,2.88,1.95,4.5,bet365,2.15,2.9,3.9,bet365,1.57,2.25,bet365,3.75,1.25,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62,bet365,1.25,1.4,1.67,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.12,0.1,0.38,0.28,0.1,0.12,0.1,0.12,,,0.74,0.73,0.37,0.39,0.53,0.57,0.0,0.0,0.37,0.4,7.0,7.0,1.0,2.0,5.0,3.0,,,,,,,,,,,17.0,10.0,,,,,,,21.0,15.0,,,,,3.0,1.0,,,0.72,0.65,43.0,60.0,10.0,39.0,11.0,6.0,0.0,0.0,0.0,0.0,,,0.12,0.08,0.07,0.16,,,2.0,4.0,1.0,1.0,0.0,1.0,,,,,,,12.0,7.0,1.0,1.0,,,,,0.0,0.02,0.31,0.12,,,5.0,3.0,0.0,1.0,5.0,2.0,,,,,,,,,9.0,8.0,2.0,0.0,,
CSi6zvWj,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,03/12/2025,20:20,Clausura,Fortaleza,Santa Fe,1,2,[20],"[27, 42]",bet365,3.2,2.2,3.25,bet365,2.6,3.25,2.63,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.93,1.88,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.67,2.1,bet365,1.44,1.33,1.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.3,1.13,0.44,0.71,1.13,1.3,0.13,0.3,,,0.82,0.82,0.45,0.5,0.64,0.64,0.0,0.0,0.23,0.36,12.0,12.0,4.0,2.0,5.0,7.0,,,,,,,,,,,16.0,14.0,,,,,,,10.0,11.0,,,,,3.0,0.0,,,0.43,1.0,26.0,22.0,10.0,21.0,9.0,1.0,0.0,0.0,0.0,0.0,,,1.11,0.99,0.29,0.47,,,4.0,9.0,2.0,1.0,1.0,5.0,,,,,,,8.0,4.0,0.0,0.0,,,,,0.19,0.14,0.15,0.24,,,8.0,3.0,2.0,1.0,4.0,2.0,,,,,,,,,2.0,7.0,3.0,0.0,,
xljHR9mJ,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,01/12/2025,22:00,Clausura,Ind. Medellin,America De Cali,1,1,[39],[50],bet365,2.1,2.38,5.5,bet365,1.55,3.8,5.75,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.8,1.91,bet365,1.14,1.25,2.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,0.81,0.5,1.96,0.43,0.5,0.81,-0.5,-0.19,,,0.87,0.73,0.66,0.46,0.77,0.49,0.0,0.0,0.21,0.67,18.0,7.0,6.0,4.0,5.0,2.0,,,,,,,,,,,30.0,8.0,,,,,,,12.0,9.0,,,,,1.0,2.0,,,0.75,0.63,35.0,29.0,9.0,28.0,7.0,7.0,0.0,0.0,0.0,0.0,,,0.79,0.48,1.02,0.28,,,11.0,3.0,5.0,3.0,3.0,0.0,,,,,,,4.0,4.0,1.0,1.0,,,,,0.02,0.02,0.94,0.15,,,7.0,4.0,1.0,1.0,2.0,2.0,,,,,,,,,8.0,5.0,0.0,1.0,,
GY18TVI6,COLOMBIA,2025,Primera A 2025,COLOMBIA 1,30/11/2025,20:30,Clausura,Junior,Atl. Nacional,2,1,"[66, 91]",[42],bet365,3.5,2.05,3.25,bet365,2.8,3.2,2.55,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.5,1.36,1.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,1.74,1.21,2.37,0.8,1.21,1.74,0.21,-0.26,,,0.81,0.78,0.61,0.61,0.73,0.7,0.0,0.0,0.53,0.35,16.0,19.0,4.0,8.0,9.0,8.0,,,,,,,,,,,26.0,19.0,,,,,,,10.0,13.0,,,,,3.0,3.0,,,0.86,0.71,46.0,37.0,22.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,,,0.04,1.06,0.37,0.45,,,8.0,8.0,1.0,6.0,7.0,2.0,,,,,,,6.0,7.0,1.0,2.0,,,,,1.7,0.15,2.0,0.35,,,8.0,11.0,3.0,2.0,2.0,6.0,,,,,,,,,4.0,6.0,2.0,1.0,,
